prompt,pergunta,resposta
0,Ela vai de carro prá escola e eu só vou a pé.,"Entendo que você está comparando a maneira como chega à escola com outra pessoa. Pode ser frustrante ver alguém ter um meio de transporte aparentemente mais conveniente. Se quiser, podemos conversar sobre formas de tornar sua caminhada mais agradável ou discutir possíveis alternativas para melhorar seu trajeto até a escola!"
0,Ela tem amigos à beça eu só tenho o Zé Prá consolar,"Parece que você está se sentindo um pouco deixado de lado em relação à quantidade de amigos. Ter menos amigos não significa que suas amizades são menos valiosas. O importante é a qualidade das amizades, e ter alguém como o Zé para consolar já é algo especial. Se quiser, posso te dar algumas dicas sobre como fazer novas amizades ou melhorar suas relações sociais!"
0,As tardes de domingo que eu passo à sofrer Sonhando em ter Um carro conversível prá ela me querer.,"Parece que você está expressando um desejo de ter algo que acredita poder melhorar sua situação ou impressionar alguém. Sonhar com um carro conversível pode simbolizar a busca por liberdade, status ou uma forma de chamar a atenção. É natural querer conquistar certas coisas, mas lembre-se de que as relações verdadeiras se baseiam em quem somos e não no que possuímos. Se quiser conversar sobre esses sentimentos ou discutir formas saudáveis ​​de construir confiança e conexões significativas com os outros, estou aqui para ajudar!"
0,Quantas noites em claro eu passei tentando esquecê-la.,"Parece que você está passando por um momento de angústia e talvez sentindo dificuldade em superar sentimentos por alguém. Passar noites em claro pensando ou tentando esquecer uma pessoa pode ser muito desgastante emocionalmente. Se quiser, posso oferecer algumas sugestões sobre como lidar com esses sentimentos ou discutir maneiras de encontrar conforto e paz durante esse processo difícil. Estou aqui para ajudar no que precisar!"
0,Quando à noite eu consigo dormir eu sonho é com ela.,"Parece que seus sentimentos por essa pessoa são realmente profundos e estão afetando tanto suas horas acordadas quanto as de sono. Sonhar com alguém por quem temos sentimentos pode ser uma forma de nosso subconsciente processar essas emoções. Se esses sonhos estão te impactando, podemos explorar algumas estratégias para ajudá-lo a lidar melhor com esses pensamentos e talvez encontrar formas mais positivas de direcionar seu foco emocional. Estou aqui para apoiar você nesse processo!"
0,Ela me diz prá não ter ilusões que entre nós não pode ser.,"Parece que você está lidando com um momento desafiador, onde a pessoa em questão foi honesta sobre seus sentimentos e as limitações do relacionamento. Isso pode ser doloroso de ouvir, especialmente se suas esperanças estavam direcionadas para uma possibilidade diferente. É importante valorizar essa abertura da outra parte e pensar no seu bem-estar emocional também. Se precisar de apoio ou quiser discutir como seguir em frente depois dessa conversa difícil, estou aqui para ajudá-lo!"
0,E é mesmo assim. Nem mesmo no meu sonho eu posso tê-la pra mim.,"Parece que você está vivenciando uma situação onde, mesmo em seus sonhos, a realidade dos sentimentos não correspondidos persiste. Isso pode ser bastante doloroso e frustrante. Às vezes, nosso subconsciente continua processando esses sentimentos profundos durante o sono. É importante cuidar de si mesmo enquanto navega por essas emoções complexas. Talvez explorar novas atividades ou focar em outros aspectos positivos da vida possa ajudar a aliviar um pouco dessa carga emocional. Estou aqui para conversar sobre estratégias que possam auxiliar nesse processo de cura e crescimento pessoal!"
0,"Eu tentei naquela festa, ela fugiu de mim","Lamento ouvir que a situação na festa não saiu como você esperava. Pode ser doloroso quando nossas tentativas de aproximação não são bem recebidas. Isso pode acontecer por vários motivos e nem sempre está sob nosso controle. É importante respeitar os sentimentos e o espaço da outra pessoa, mesmo que isso seja difícil para nós.

Se precisar conversar sobre seus sentimentos ou quiser discutir maneiras de lidar com essas situações no futuro, estou aqui para ajudar! Lembre-se de cuidar do seu bem-estar emocional durante esse período desafiador.
"
0,"E eu pensei a vida não presta, ela não gosta de mim.","Sinto muito que você esteja se sentindo assim. Pode ser realmente doloroso quando sentimos que alguém de quem gostamos não sente o mesmo por nós. É importante lembrar que o valor da sua vida não depende de como os outros sentem em relação a você; há muitos aspectos e experiências valiosos fora desse relacionamento específico.

Se precisar, estou aqui para ajudar a explorar maneiras de encontrar satisfação pessoal e redirecionar seu foco emocional para coisas ou atividades que tragam mais alegria e realização à sua vida. Às vezes, conversar sobre essas emoções pode oferecer novas perspectivas ou trazer algum alívio durante esses momentos desafiadores."
1,Ela vai de carro prá escola e eu só vou a pé.,"Boas-vindas! Sou a Glenda, sua assistente psicoterapeuta virtual. Como posso chamá-lo(a)? 

Compartilhar suas experiências pode ajudar você a processar como está se sentindo. Parece que há uma comparação entre suas rotinas de deslocamento escolar. Você gostaria de falar mais sobre o que sentir ao pensar nisso? Estou aqui para ouvir e apoiar da melhor forma possível."
1,Ela tem amigos à beça eu só tenho o Zé Prá consolar,Sinto que você está passando por um momento de comparação em relação às suas amizades. Isso pode ser bastante desafiador. Você gostaria de compartilhar mais sobre como essa situação tem feito você se sentir? Estou aqui para ouvir e ajudar da melhor forma possível.
1,As tardes de domingo que eu passo à sofrer Sonhando em ter Um carro conversível prá ela me querer.,"Entendo que você está passando por um período de reflexão e talvez até frustração em relação aos seus desejos e aspirações. Sonhar com algo específico pode, às vezes, destacar ainda mais a ausência daquele desejo na nossa vida atual. Você gostaria de falar mais sobre o que representa para você esse sonho de ""um carro conversível"" e como isso se relaciona com os sentimentos pela pessoa mencionada? Estou aqui para ouvir e apoiar no que for preciso."
1,Quantas noites em claro eu passei tentando esquecê-la.,Sinto que você está enfrentando noites difíceis e isso pode ser muito desgastante emocionalmente. Parece que essa situação tem afetado bastante o seu bem-estar. Você gostaria de compartilhar mais sobre esses sentimentos e como elas têm impactado suas noites? Estou aqui para ouvir e apoiar da melhor forma possível.
1,Quando à noite eu consigo dormir eu sonho é com ela.,"Parece que essa situação está realmente ocupando seus pensamentos, até mesmo durante o sono. Sonhar com alguém pode ser uma experiência intensa e reveladora sobre como nos sentimos em relação a essa pessoa. Você gostaria de explorar um pouco mais sobre esses sonhos? Como você se sente quando acorda depois de sonhar com ela? Estou aqui para ouvir e ajudar no que for preciso."
1,Ela me diz prá não ter ilusões que entre nós não pode ser.,Sinto muito que você esteja passando por essa situação complicada e emocionalmente desafiadora. Pode ser doloroso ouvir isso de alguém por quem sentimos carinho. Você gostaria de falar mais sobre como está lidando com esses sentimentos? Estou aqui para oferecer apoio e tentar ajudar da melhor maneira possível.
1,E é mesmo assim. Nem mesmo no meu sonho eu posso tê-la pra mim.,"Sinto que essa situação pode ser muito angustiante para você, especialmente quando até nos seus sonhos parece haver uma barreira. Às vezes, nossas mentes refletem nossos medos e inseguranças mais profundos de formas inesperadas. Você gostaria de explorar mais sobre como se sente em relação a isso? Lembre-se de que estou aqui para ouvir e apoiar você da melhor maneira possível."
1,"Eu tentei naquela festa, ela fugiu de mim",Sinto que você está passando por momentos difíceis e talvez enfrentando rejeição ou decepção. Essas experiências podem ser muito dolorosas e é importante encontrar maneiras de processar esses sentimentos. Você gostaria de falar mais sobre o que aconteceu naquela festa e como isso te fez sentir? Estou aqui para ouvir e apoiar você da melhor forma possível.
1,"E eu pensei a vida não presta, ela não gosta de mim.","Sinto muito que você esteja se sentindo assim. Pode ser muito doloroso quando temos esses pensamentos e percebemos que nossos sentimentos não são correspondidos da forma como gostaríamos. Você gostaria de explorar mais sobre esses sentimentos e como essa situação está impactando sua visão sobre a vida? Estou aqui para ouvir e apoiar você da melhor maneira possível. E lembre-se, é sempre válido buscar apoio de um profissional qualificado caso sinta necessidade de ajuda adicional para lidar com essas emoções."
2,Ela vai de carro prá escola e eu só vou a pé.,"Bom dia! Espero que você esteja bem. Por favor, poderia me informar seu nome, email e número de celular? Gostaria muito de conhecê-lo melhor."
2,Ela tem amigos à beça eu só tenho o Zé Prá consolar,"Bom dia! Parece que você está comparando algumas coisas da sua vida com a de outra pessoa. Isso pode ser um sentimento difícil de lidar. Você poderia me contar mais sobre como está se sentindo em relação às suas amizades e à sua rotina? Ah, ainda estou aguardando seu nome, email e número de celular para que possamos continuar essa conversa da melhor forma possível."
2,As tardes de domingo que eu passo à sofrer Sonhando em ter Um carro conversível prá ela me querer.,"Bom dia! Parece que você está passando por momentos difíceis e sentindo-se sozinho, especialmente durante as tardes de domingo. É importante lembrar que seus sentimentos são válidos e ter alguém para conversar pode fazer diferença. Antes de continuarmos essa conversa, poderia me informar seu nome, email e número de celular? Assim consigo conhecê-lo melhor.

Além disso, gostaria muito de entender um pouco mais sobre como tem sido sua rotina nos últimos tempos. Talvez haja áreas em sua vida onde possamos trazer à tona algo positivo ou ajudar a encontrar novas possibilidades para lidar com esses desafios. Como você se sente geralmente nesses dias? Você mencionou estar sonhando em ter determinadas coisas; há outras coisas na sua vida agora que também trazem alegria ou satisfação?"
2,Quantas noites em claro eu passei tentando esquecê-la.,"Bom dia! Parece que você está enfrentando momentos desafiadores, especialmente com algumas preocupações durante suas noites. Eu entendo como isso pode ser desgastante e solitário. Antes de continuarmos, por favor me informe seu nome, email e número de celular para que eu possa conhecê-lo melhor.

Fora isso, gostaria de entender mais sobre como tem sido sua experiência no sono ultimamente. Você sente alguma dificuldade em iniciar o sono ou frequentemente acorda durante a noite? Saber um pouco mais sobre essas dificuldades pode nos ajudar a encontrar formas melhores de lidar com esses sentimentos.

Além disso, se houver qualquer outro aspecto da sua vida atualmente — seja relacionado ao trabalho ou às atividades do dia a dia — sinta-se à vontade para compartilhar comigo; estou aqui para ouvi-lo e oferecer apoio da melhor maneira possível."
2,Quando à noite eu consigo dormir eu sonho é com ela.,"Boa noite! É compreensível que você esteja enfrentando dificuldades relacionadas a sonhos e sono. Parece que essa pessoa é muito importante para você, e os sentimentos envolvidos podem ser intensos. Gostaria de aprender mais sobre como tem sido suas noites de sono em geral e como você se sente ao acordar desses sonhos.

Além disso, seria bom ouvir um pouco mais sobre outros aspectos da sua rotina ou atividades diárias; muitas vezes podemos encontrar formas de trazer serenidade ou conforto através das coisas que fazemos no dia a dia. Lembre-se: estou aqui para apoiar e compreender o seu cenário atual da melhor forma possível.

Antes disso, ainda preciso obter algumas informações pessoais suas — seu nome, email e número do celular — para garantir um contato adequado caso precise fazer algum acompanhamento posterior com profissionais qualificados na área da saúde mental."
2,Ela me diz prá não ter ilusões que entre nós não pode ser.,"Boa noite! Parece que você está passando por um momento delicado e cheio de emoções. Lidar com expectativas frustradas em relação a alguém pode ser bastante desafiador, especialmente quando há desejos envolvidos que não se concretizam.

Antes de continuar nossa conversa para explorar como posso oferecer suporte da melhor forma possível, poderia me informar seu nome, email e número de celular? Assim eu poderei conhecê-lo melhor. 

Se sentir confortável para compartilhar mais sobre seus sentimentos ou quaisquer outros aspectos da sua vida — como trabalho ou lazer — estou disponível para ouvi-lo com atenção e empatia. Meu objetivo é ajudar a encontrar caminhos que possam lhe trazer conforto nesses momentos difíceis.

Como tem sido seu nível geral de energia ao lidar com essas situações ultimamente?"
2,E é mesmo assim. Nem mesmo no meu sonho eu posso tê-la pra mim.,"Boa noite! Sinto muito por você estar passando por esse momento difícil. Parece que há uma grande carga emocional envolvida com essas expectativas e sonhos, o que pode ser bastante desafiador de lidar sozinho.

Vamos conversar um pouco mais sobre como você tem se sentido em outras áreas da sua vida? Às vezes, refletir sobre diferentes aspectos do nosso dia a dia pode ajudar a encontrar novas formas de enfrentar situações adversas. Como está sua energia para realizar suas atividades diárias? E quanto ao seu apetite ultimamente?

Além disso, se tiver algo específico que gostaria de compartilhar ou discutir comigo — seja relacionado à família, trabalho ou qualquer outra área — estou aqui para ouvir com atenção e oferecer todo o apoio possível.

Ah, quase me esqueço: ainda preciso das suas informações pessoais (nome completo, email e número de celular) para assegurar um contato seguro no caso precisar passar adiante alguma parte importante dessa conversa aos profissionais responsáveis pelo seu cuidado contínuo na saúde mental. Fico no aguardo dessas informações quando puder repassá-las!

Lembre-se sempre: seus sentimentos são válidos e não precisa enfrentá-los sozinho; juntos podemos buscar caminhos melhores rumo ao bem-estar novamente!"
2,"Eu tentei naquela festa, ela fugiu de mim","Boa noite! Parece que você teve uma experiência desafiadora recentemente em relação a essa pessoa especial para você. Entendo como isso pode ser frustrante e decepcionante, especialmente quando esperamos algo diferente.

Estou aqui para ouvir e ajudar da melhor forma possível. Contar um pouco mais sobre essas experiências ou outras áreas da sua vida pode ser útil — estou interessado em saber como tem sido seu estado de espírito nesses momentos. Por exemplo, como está se sentindo ultimamente? Tem notado mudanças no seu humor?

Além disso, ainda gostaria de obter suas informações pessoais (nome completo, email e número de celular), pois elas são importantes para garantir um acompanhamento adequado caso necessário.

Lembre-se: não precisa lidar com tudo sozinho; é normal buscar apoio ao enfrentar situações difíceis assim!"
2,"E eu pensei a vida não presta, ela não gosta de mim.","Boa noite! Sinto muito por você estar se sentindo assim. Parece que essa situação está realmente pesando em seu coração, e é compreensível ter esses pensamentos quando algo importante para nós não sai como esperamos. Gostaria de enfatizar que seus sentimentos são válidos, e estou aqui para saber mais sobre o que está passando.

Podemos conversar sobre outras partes da sua vida também? Isso pode ajudar a trazer novas perspectivas ou encontrar alguma satisfação em diferentes aspectos do cotidiano. Como estão suas relações familiares ou seu ambiente de trabalho atualmente? Há algo específico no qual eu possa oferecer apoio?

Também gostaria de lembrar a importância de contar com as informações pessoais — nome completo, email e número celular — caso precise compartilhar pontos importantes dessa conversa com profissionais qualificados na área da saúde mental para um suporte contínuo adequado.

Estou aqui por você; juntos podemos buscar maneiras melhores rumo à serenidade novamente!"
